feature,coefficient,absolute_coefficient
学校,0.03651825432917243,0.03651825432917243
然后，嗯，,-0.0365130765560796,0.0365130765560796
然后，嗯,-0.0365130765560796,0.0365130765560796
后，嗯,-0.0365130765560796,0.0365130765560796
后，嗯，,-0.0365130765560796,0.0365130765560796
的时候会,-0.03645523382394151,0.03645523382394151
"的。
喜欢",0.03643939036980954,0.03643939036980954
"的。
喜",0.03643939036980954,0.03643939036980954
让自己,0.03643939036980954,0.03643939036980954
让自,0.03643939036980954,0.03643939036980954
些事情,-0.036436155655960034,0.036436155655960034
的一些事情,-0.036436155655960034,0.036436155655960034
一些事情,-0.036436155655960034,0.036436155655960034
的一些事,-0.036436155655960034,0.036436155655960034
工，,-0.0364236277831058,0.0364236277831058
是因,-0.03640429170467439,0.03640429170467439
是因为,-0.03640429170467439,0.03640429170467439
还是希望,-0.036380842986151934,0.036380842986151934
是希,-0.036380842986151934,0.036380842986151934
还是希,-0.036380842986151934,0.036380842986151934
是希望,-0.036380842986151934,0.036380842986151934
，当,-0.03637402171201995,0.03637402171201995
"。
在",0.036362827939513745,0.036362827939513745
了，很,0.036362827939513745,0.036362827939513745
生活中,-0.0363307639988079,0.0363307639988079
活中,-0.0363307639988079,0.0363307639988079
致，,-0.03632899260243992,0.03632899260243992
导致，,-0.03632899260243992,0.03632899260243992
"活。
",0.0362731745178797,0.0362731745178797
活。,0.0362731745178797,0.0362731745178797
小的争吵。,0.03623523585321673,0.03623523585321673
点小的争,0.03623523585321673,0.03623523585321673
小的争吵,0.03623523585321673,0.03623523585321673
点小,0.03623523585321673,0.03623523585321673
点小的,0.03623523585321673,0.03623523585321673
的争吵。,0.03623523585321673,0.03623523585321673
点小的争吵,0.03623523585321673,0.03623523585321673
空间,-0.03623141169034892,0.03623141169034892
"地方
",-0.03623141169034892,0.03623141169034892
"的地方
",-0.03623141169034892,0.03623141169034892
"方
",-0.03623141169034892,0.03623141169034892
在做,-0.036179617730392494,0.036179617730392494
认真,-0.03617516750611435,0.03617516750611435
整个人,-0.03614572952020026,0.03614572952020026
然后整个人,-0.03614572952020026,0.03614572952020026
，然后整,-0.03614572952020026,0.03614572952020026
然后整个,-0.03614572952020026,0.03614572952020026
后整个人,-0.03614572952020026,0.03614572952020026
后整个,-0.03614572952020026,0.03614572952020026
然后整,-0.03614572952020026,0.03614572952020026
后整,-0.03614572952020026,0.03614572952020026
，然后整个,-0.03614572952020026,0.03614572952020026
是看,0.03611897071211955,0.03611897071211955
然后就,0.03610145523214435,0.03610145523214435
，然后就,0.03610145523214435,0.03610145523214435
相对,-0.03606399718896946,0.03606399718896946
我也会,-0.03604604253677998,0.03604604253677998
也可以,-0.03604604253677998,0.03604604253677998
我睡,-0.03604604253677998,0.03604604253677998
也可,-0.03604604253677998,0.03604604253677998
到他,-0.03602783146056779,0.03602783146056779
看到他,-0.03602783146056779,0.03602783146056779
最喜欢看,-0.03599209644367578,0.03599209644367578
作。,-0.03597481061323451,0.03597481061323451
工作。,-0.03597481061323451,0.03597481061323451
后就是想,-0.03597481061323451,0.03597481061323451
的工作。,-0.03597481061323451,0.03597481061323451
一个好,-0.03594853874782423,0.03594853874782423
个好,-0.03594853874782423,0.03594853874782423
孩子。,0.03593036704231765,0.03593036704231765
小孩子。,0.03593036704231765,0.03593036704231765
的想,-0.035923581160515375,0.035923581160515375
前的一,-0.03590686818561237,0.03590686818561237
是排,-0.03586184752173188,0.03586184752173188
他，,-0.03584981320001156,0.03584981320001156
我最近,-0.035832426334953,0.035832426334953
样比,-0.03581638110412325,0.03581638110412325
样比较,-0.03581638110412325,0.03581638110412325
让你,0.03571767474530293,0.03571767474530293
因为，嗯，,0.03569821112666231,0.03569821112666231
因为，嗯,0.03569821112666231,0.03569821112666231
为，嗯,0.03569821112666231,0.03569821112666231
为，嗯，,0.03569821112666231,0.03569821112666231
了，然后，,-0.035658044262965226,0.035658044262965226
感，,0.03555735227975731,0.03555735227975731
天都,-0.03554290884001296,0.03554290884001296
一天都,-0.03554290884001296,0.03554290884001296
的意,-0.035488860403006604,0.035488860403006604
不满,-0.035488860403006604,0.035488860403006604
